review_id,farmer_id,crop,text,rating,sentiment
review_00000,farmer_0041,Tomato,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00001,farmer_0022,Groundnut,Not satisfied. Price changed after ordering.,2,negative
review_00002,farmer_0049,Potato,Good value for money. Will definitely reorder.,4,positive
review_00003,farmer_0034,Tomato,Very fresh and organic. Highly recommended.,5,positive
review_00004,farmer_0010,Sugarcane,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00005,farmer_0047,Coconut,Quantity was less than ordered. Disappointed. Recommended!,2,negative
review_00006,farmer_0029,Potato,Decent quality. Will order again if price drops. Not ordering again.,3,neutral
review_00007,farmer_0023,Groundnut,Not satisfied. Price changed after ordering. Will buy again.,2,negative
review_00008,farmer_0015,Sugarcane,Outstanding! Best rice I have ever bought online. Delivery took too long.,5,positive
review_00009,farmer_0002,Lady Finger,Fresh and clean vegetables. Packaging was great.,4,positive
review_00010,farmer_0039,Brinjal,Terrible experience. Vegetables were rotten on arrival. Price was fair.,1,negative
review_00011,farmer_0039,Carrot,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00012,farmer_0024,Onion,Not satisfied. Price changed after ordering.,2,negative
review_00013,farmer_0039,Lady Finger,Not satisfied. Price changed after ordering. Not ordering again.,2,negative
review_00014,farmer_0006,Banana,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00015,farmer_0037,Tomato,Very fresh and organic. Highly recommended.,5,positive
review_00016,farmer_0033,Sugarcane,Very fresh and organic. Highly recommended.,5,positive
review_00017,farmer_0005,Cabbage,Very fresh and organic. Highly recommended.,5,positive
review_00018,farmer_0032,Cauliflower,Decent quality. Will order again if price drops.,3,neutral
review_00019,farmer_0023,Groundnut,"Good produce, slightly overpriced but worth it. Not ordering again.",4,positive
review_00020,farmer_0039,Cotton,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00021,farmer_0014,Banana,Delivery was late but produce quality was good.,3,neutral
review_00022,farmer_0006,Lady Finger,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00023,farmer_0042,Brinjal,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00024,farmer_0010,Tomato,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00025,farmer_0034,Cabbage,Fresh and clean vegetables. Packaging was great. Not ordering again.,4,positive
review_00026,farmer_0049,Cotton,Delivery was late but produce quality was good.,3,neutral
review_00027,farmer_0046,Brinjal,Terrible experience. Vegetables were rotten on arrival. Price was fair.,1,negative
review_00028,farmer_0002,Coconut,Quantity was less than ordered. Disappointed.,2,negative
review_00029,farmer_0045,Lady Finger,Terrible experience. Vegetables were rotten on arrival. Price was fair.,1,negative
review_00030,farmer_0027,Onion,Quantity was less than ordered. Disappointed. Will buy again.,2,negative
